Type,Application,Description,Dotfiles,Debian,Homebrew
====,===========,===========,========,======,========
pkg,bison,Parser generator,N,bison,bison
pkg,ccrypt,File encryption,N,ccrypt,ccrypt
pkg,clang,C/C++ compiler and formatter,Y,clang,clang
pkg,cmake,Cross-platform build system,N,cmake,cmake
pkg,colordiff,Colorized diff,N,colordiff,colordiff
pkg,coreutils,Core utilities,N,coreutils,coreutils
pkg,cron,Job scheduler,N,cron,n/a
pkg,cscope,Code navigator,N,cscope,cscope
pkg,ctags,Source code indexer,Y,exuberant-ctags,ctags
pkg,curl,URL transfer tool,N,curl,curl
pkg,dmenu,X11 menu launcher,N,suckless-tools,n/a
pkg,docker,Container platform,N,docker.io,docker
pkg,docker-buildx,Docker build plugin,N,docker-buildx,n/a
pkg,docker-compose,Multi-container orchestration,N,docker-compose,docker-compose
pkg,docutils-common,reStructuredText tools,N,docutils-common,n/a
pkg,dropbear,Lightweight SSH,N,dropbear,n/a
pkg,dtc,Device tree compiler,N,device-tree-compiler,dtc
pkg,eog,Image viewer,N,eog,n/a
pkg,evince,PDF viewer,N,evince,n/a
pkg,feh,Image viewer,N,feh,feh
pkg,figlet,ASCII text banners,N,figlet,figlet
pkg,flex,Lexical analyzer,N,flex,flex
pkg,freerdp,RDP client,N,freerdp2-x11,freerdp
pkg,g++,GNU C++ compiler,N,g++,gcc
pkg,gcc,GNU C compiler,N,gcc,gcc
pkg,gh,GitHub CLI,N,gh,gh
pkg,git,Version control,Y,git,git
pkg,gnome-screenshot,Screenshot tool,N,gnome-screenshot,n/a
pkg,gparted,Partition editor,N,gparted,n/a
pkg,hexedit,Hex editor,N,hexedit,hexedit
pkg,htop,Process viewer,N,htop,htop
pkg,iperf3,Network performance tool,N,iperf3,iperf3
pkg,libarchive-zip-perl,Perl archive module,N,libarchive-zip-perl,n/a
pkg,libncurses-dev,Terminal UI library,N,libncurses-dev,ncurses
pkg,libssl-dev,OpenSSL libraries,N,libssl-dev,openssl
pkg,make,Build automation,N,make,make
pkg,man,Manual pages,N,man,man-db
pkg,meld,Visual diff tool,N,meld,meld
pkg,minicom,Serial terminal,Y,minicom,minicom
pkg,net-tools,Network tools (ifconfig),N,net-tools,n/a
pkg,nmap,IP scanner,N,nmap,nmap
pkg,octave,Numerical computing,N,octave,octave
pkg,p7zip,7zip archiver,N,p7zip,p7zip
pkg,patch,Apply patches,N,patch,patch
pkg,pdftk,PDF toolkit,N,pdftk,n/a
pkg,perl,Perl interpreter,N,perl,perl
pkg,pinta,Image editor,N,pinta,n/a
pkg,pip,Python package manager,N,python3-pip,n/a
pkg,pipx,Python app installer,N,n/a,pipx
pkg,putty,SSH/serial client,N,putty,putty
pkg,python3,Python interpreter,N,python3,python3
pkg,ranger,File browser,Y,ranger,ranger
pkg,remmina,Remote desktop GUI,N,remmina,n/a
pkg,repo,Git repository manager,N,repo,n/a
pkg,rst2pdf,reStructuredText to PDF,Y,rst2pdf,rst2pdf
pkg,sc-im,Spreadsheet calculator,N,n/a,sc-im
pkg,screen,Terminal multiplexer,Y,screen,screen
pkg,sshfs,SSH filesystem,N,sshfs,sshfs
pkg,sshpass,Non-interactive SSH auth,N,sshpass,sshpass
pkg,terminus-font,Monospace font,N,fonts-terminus,n/a
pkg,terminator,Terminal emulator,Y,terminator,n/a
pkg,tmux,Terminal multiplexer,Y,tmux,tmux
pkg,tree,Directory tree viewer,N,tree,tree
pkg,vim,Text editor,Y,vim,vim
pkg,wireshark,Network protocol analyzer,N,wireshark,wireshark
pkg,xcalib,X11 color calibration,N,xcalib,n/a
pkg,xclip,X11 clipboard CLI,N,xclip,n/a
pkg,xsel,X11 clipboard access,N,xsel,n/a
pkg,zip,Zip archiver,N,zip,zip
pkg,zsh,Z shell,N,zsh,zsh
====,Python packages (pip),====,====,====,====
pip,black,Python formatter,N,black,black
pip,bpytop,Resource monitor,Y,bpytop,bpytop
pip,matplotlib,Plotting library,N,matplotlib,matplotlib
pip,numpy,Scientific computing,N,numpy,numpy
pip,pandas,Data analysis,N,pandas,pandas
pip,passlib,Password hashing,N,passlib,passlib
pip,pyvisa,VISA instrument control,N,pyvisa,pyvisa
pip,pyvisa-py,Pure Python VISA backend,N,pyvisa-py,pyvisa-py
pip,pyusb,USB access,N,pyusb,pyusb
pip,scipy,Scientific algorithms,N,scipy,scipy
pip,uv,Fast Python package installer,N,uv,uv
pip,virtualenv,Virtual environment tool,N,virtualenv,virtualenv
====,Groups to add user to,====,====,====,====
group,dialout,Serial port access,N/A,dialout,n/a
group,libvirt,Virtual machine management,N/A,libvirt,n/a
group,vboxusers,VirtualBox access,N/A,vboxusers,n/a
group,wheel,Sudo group,N/A,wheel,wheel
group,wireshark,Packet capture,N/A,wireshark,n/a
